RANDOM_SEED=6

Hamming profile: [462, 49, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Lee profile: [1444, 141, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
462<=B[0].wtL<=2310
B[0].wtH=462, B[0].wtL=1444

--- LeeBKZ with beta=6, bkz with minimum_lee_wt_codeword (may be non-primitive) ---
[LEEbkz:MW_Codeword_LEE:0.14987444877624512 sec.]
[LEEbkz:MW_Codeword_LEE:0.07311153411865234 sec.]
[LEEbkz:MW_Codeword_LEE:0.14311838150024414 sec.]
[LEEbkz:MW_Codeword_LEE:0.07317495346069336 sec.]
[LEEbkz:MW_Codeword_LEE:0.06606078147888184 sec.]
[LEEbkz:MW_Codeword_LEE:0.14313244819641113 sec.]
[LEEbkz:MW_Codeword_LEE:0.07304096221923828 sec.]
[LEEbkz:MW_Codeword_LEE:0.19604802131652832 sec.]
[LEEbkz:MW_Codeword_LEE:0.07303786277770996 sec.]
[LEEbkz:MW_Codeword_LEE:0.06605911254882812 sec.]
[LEEbkz:MW_Codeword_LEE:0.1489887237548828 sec.]
[LEEbkz:MW_Codeword_LEE:0.0730443000793457 sec.]
[LEEbkz:MW_Codeword_LEE:0.14796185493469238 sec.]
[LEEbkz:MW_Codeword_LEE:0.07301664352416992 sec.]
[LEEbkz:MW_Codeword_LEE:0.06615138053894043 sec.]
[LEEbkz:MW_Codeword_LEE:0.1452188491821289 sec.]
[LEEbkz:MW_Codeword_LEE:0.07415580749511719 sec.]
[LEEbkz:MW_Codeword_LEE:0.1467604637145996 sec.]
[LEEbkz:MW_Codeword_LEE:0.07343626022338867 sec.]
[LEEbkz:MW_Codeword_LEE:0.06634736061096191 sec.]
[LEEbkz:MW_Codeword_LEE:0.14572644233703613 sec.]
[LEEbkz:MW_Codeword_LEE:0.07313823699951172 sec.]
[LEEbkz:MW_Codeword_LEE:0.06586265563964844 sec.]
[LEEbkz:MW_Codeword_LEE:0.06541967391967773 sec.]
[LEEbkz:MW_Codeword_LEE:0.1480703353881836 sec.]
[LEEbkz:MW_Codeword_LEE:0.07593274116516113 sec.]
[LEEbkz:MW_Codeword_LEE:0.14821648597717285 sec.]
[LEEbkz:MW_Codeword_LEE:0.07317757606506348 sec.]
[LEEbkz:MW_Codeword_LEE:0.0658719539642334 sec.]
[LEEbkz:MW_Codeword_LEE:0.14803385734558105 sec.]
[LEEbkz:MW_Codeword_LEE:0.07300710678100586 sec.]
[LEEbkz:MW_Codeword_LEE:0.0695955753326416 sec.]
[LEEbkz:MW_Codeword_LEE:0.06580328941345215 sec.]
[LEEbkz:MW_Codeword_LEE:0.14732956886291504 sec.]
[LEEbkz:MW_Codeword_LEE:0.07385396957397461 sec.]
[LEEbkz:MW_Codeword_LEE:0.0659644603729248 sec.]
[LEEbkz:MW_Codeword_LEE:0.06575226783752441 sec.]
[LEEbkz:MW_Codeword_LEE:0.06556320190429688 sec.]
[LEEbkz:MW_Codeword_LEE:0.14822697639465332 sec.]
[LEEbkz:MW_Codeword_LEE:0.07333493232727051 sec.]
[LEEbkz:MW_Codeword_LEE:0.20201706886291504 sec.]
[LEEbkz:MW_Codeword_LEE:0.07347512245178223 sec.]
[LEEbkz:MW_Codeword_LEE:0.06580281257629395 sec.]
[LEEbkz:MW_Codeword_LEE:0.1494123935699463 sec.]
[LEEbkz:MW_Codeword_LEE:0.0761418342590332 sec.]
[LEEbkz:MW_Codeword_LEE:0.1425037384033203 sec.]
[LEEbkz:MW_Codeword_LEE:0.07295560836791992 sec.]
[LEEbkz:MW_Codeword_LEE:0.06640934944152832 sec.]
[LEEbkz:MW_Codeword_LEE:0.14510679244995117 sec.]
[LEEbkz:MW_Codeword_LEE:0.07540631294250488 sec.]
[LEEbkz:MW_Codeword_LEE:0.06579995155334473 sec.]
[LEEbkz:MW_Codeword_LEE:0.0655975341796875 sec.]
[LEEbkz:MW_Codeword_LEE:0.14870333671569824 sec.]
[LEEbkz:MW_Codeword_LEE:0.07294607162475586 sec.]
[LEEbkz:MW_Codeword_LEE:0.06645441055297852 sec.]
[LEEbkz:MW_Codeword_LEE:0.148240327835083 sec.]
[LEEbkz:MW_Codeword_LEE:0.07269763946533203 sec.]
[LEEbkz:MW_Codeword_LEE:0.06632351875305176 sec.]
[LEEbkz:MW_Codeword_LEE:0.06558632850646973 sec.]
[LEEbkz:MW_Codeword_LEE:0.14240074157714844 sec.]
[LEEbkz:MW_Codeword_LEE:0.07566118240356445 sec.]
[LEEbkz:MW_Codeword_LEE:0.1491072177886963 sec.]
[LEEbkz:MW_Codeword_LEE:0.07327389717102051 sec.]
[LEEbkz:MW_Codeword_LEE:0.06621122360229492 sec.]
[LEEbkz:MW_Codeword_LEE:0.14842557907104492 sec.]
[LEEbkz:MW_Codeword_LEE:0.07307982444763184 sec.]
[LEEbkz:MW_Codeword_LEE:0.06595301628112793 sec.]
[LEEbkz:MW_Codeword_LEE:0.041701316833496094 sec.]
[LEEbkz:MW_Codeword_LEE:0.145035982131958 sec.]
[LEEbkz:MW_Codeword_LEE:0.0730278491973877 sec.]
[LEEbkz:MW_Codeword_LEE:0.06576848030090332 sec.]
[LEEbkz:MW_Codeword_LEE:0.029471635818481445 sec.]
[LEEbkz:MW_Codeword_LEE:0.20034456253051758 sec.]
[LEEbkz:MW_Codeword_LEE:0.07314538955688477 sec.]
[LEEbkz:MW_Codeword_LEE:0.06595325469970703 sec.]
[LEEbkz:MW_Codeword_LEE:0.029463768005371094 sec.]
[LEEbkz:MW_Codeword_LEE:0.14333510398864746 sec.]
[LEEbkz:MW_Codeword_LEE:0.07288026809692383 sec.]
[LEEbkz:MW_Codeword_LEE:0.06583499908447266 sec.]
[LEEbkz:MW_Codeword_LEE:0.029766321182250977 sec.]
[LEEbkz:MW_Codeword_LEE:0.0729820728302002 sec.]
[LEEbkz:MW_Codeword_LEE:0.06607818603515625 sec.]
[LEEbkz:MW_Codeword_LEE:0.029454469680786133 sec.]
[LEEbkz:MW_Codeword_LEE:0.06615281105041504 sec.]
[LEEbkz:MW_Codeword_LEE:0.029679536819458008 sec.]
[LEEbkz:MW_Codeword_LEE:0.030312299728393555 sec.]
[LEEbkz:MW_Codeword_LEE:0.029652833938598633 sec.]
[LEEbkz:MW_Codeword_LEE:0.03003549575805664 sec.]
[LEEbkz:MW_Codeword_LEE:0.02943253517150879 sec.]
[LEEbkz:MW_Codeword_LEE:0.030153512954711914 sec.]
